Z ID,SMILES,RT,ECP
Z104492894,Cl.ClCC=1C=CN=CC1,0.2539,1.2668
Z1258567795,BrC=1C=CC=2C=NC=CC2C1,0.6311,1.112
Z223120142,NC=1C=CC(F)=CN1,0.1873,1.3246
Z1741982720,Cl.COC(=O)[C@@H](N)CO,0.1127,1.0647
Z276129254,ClC1=NC=2C=CC=CC2N1,0.7316,1.1691
Z594267896,OC=1C=CC(F)=CN1,0.4277,1.3083
Z1079456592,NC=1N=CN=C(Cl)C1N,0.4037,1.383
Z1259086653,OC(=O)C=1C=CN=C(Br)C1,0.865,1.335
Z235485474,NC=1C=CC=C(C#C)C1,0.4379,1.0208
Z2289755678,Cl.CC=1N=CNC1C,0.1748,1.3248
Z756429958,OC(=O)[C@@H]1CCCN1,0.133,1.1903
Z1741979710,CC(C)(C)C=1C=CN=C(C1)C=2C=C(C=CN2)C(C)(C)C,1.1949,1.2167
Z56753866,NC1=NC(=NN1)C(F)(F)F,0.4204,1.2593
Z192967066,NC(=O)C[C@H](NC(=O)OCC=1C=CC=CC1)C(=O)O,0.8284,1.278
Z104494954,O=C1NCCN1,0.1679,1.2932
Z292662214,CCOC(=O)CC=1C=CC(O)=CC1,1.1068,1.3652
Z104485978,ClC=1C=CC=2C=CC=CC2N1,1.3278,1.3623
Z56823019,NNC(=S)NN,0.1337,1.1889
Z2517221068,NC(=N)N1CCOCC1.OS(=O)(=O)O,0.133,1.1316
Z1029452572,OC(=O)C=1C=C(F)C(F)=CC1I,0.9988,1.1506
Z104493616,CC1=NC=C([N+](=O)[O-])N1C,0.672,1.3319
Z2693980763,ClC=1C=CC(=O)NN1,0.5139,1.2964
Z1065600802,COC(=O)C=1C=CC(Br)=CN1,1.0773,1.3692
Z1255391870,CC=1C=C(Br)C=NC1C#N,1.1149,1.27
Z1269238791,COC=1N=C(Br)C=CC1N,0.9498,1.1543
Z1695772815,COC=1C=CC=2C=C(C=CC2C1)[C@H](C)C(=O)O,1.0644,1.1031
Z1255443074,ClC=1C=CN=C2NC=CC12,0.8967,1.1413
Z56755653,NCCC=1C=CC(=CC1)S(=O)(=O)N,0.1552,1.2415
Z1250167432,NC=1N=CC(Cl)=CC1Br,0.9342,1.1184
Z1269231626,NC=1C=C(Br)C=NC1Br,1.1086,1.333
Z1069972546,IC=1N=CC=CN1,0.6348,1.1952
Z1255383181,N[C@@H](COCC=1C=CC=CC1)C(=O)O,0.4625,1.0899
Z1116403969,CN1C=CN=C1C#N,0.5772,1.341
Z1236003425,OC(=O)C=1C=CN=C(C1)C(=O)O,0.2152,1.1437
Z104492192,NC=1C=CC(=CC1Br)[N+](=O)[O-],0.969,1.1243
Z96092285,COC(=O)C=1C=C(OC)C(OC)=CC1N,0.854,1.1424
Z1269641829,BrC=1C=CC=2C(=O)N(C3CCC(=O)NC3=O)C(=O)C2C1,0.9657,1.137
Z1486032591,NC=1C=C(F)C(=CC1Br)[N+](=O)[O-],1.0024,1.1459
Z1201621262,COC=1C=CC(N)=NN1,0.2134,1.2434
Z55992887,COC=1C(Br)=CC(Br)=CC1C=O,1.1656,1.05
Z3236099485,Cl.C1N[C@H]2CO[C@@H]1C2,0.1476,1.2897
Z56844958,Cl.NNC=1C=CC(=CC1)S(=O)(=O)N,0.1284,1.182
Z1082871080,CNC=1C=CC=NC1,0.1983,1.2478
Z247609714,FC(F)(F)OC=1C=CC=2NC(=O)C(=O)C2C1,0.8369,1.0096
Z235338061,BrC=1C=CC=2NC(=O)COC2C1,1.1083,1.2876
Z1123720070,OC(=O)[C@H](CC1=CNC=2C=CC=CC12)NC(=O)OCC3C=4C=CC=CC4C=5C=CC=CC35,1.1335,0.9972
Z1741982921,Cl.CNCCC(OC=1C=CC(=CC1)C(F)(F)F)C=2C=CC=CC2,1.0943,1.2722
Z2768175711,Cl.CC(=O)C1=NC=CN1,0.2725,1.3451
Z1341543331,NC=1N=CN=C2N(C=NC12)[C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O,0.2813,1.0821
Z317025080,NC(CC=1C=CC=NC1)C(=O)O,0.1376,1.3063
Z2768205521,Cl.CN1N=CC=C1CCl,0.5462,0.9735
Z1741962504,OC=1C=C(C=CN1)C(F)(F)F,0.6956,1.1677
Z2239077964,CCC1=CNC(=O)NC1=O,0.592,1.3312
Z1508916783,CC=1N=C2C=CC=CC2=C(C(=O)O)C1O,0.7768,1.3175
Z1741968268,Cl.COC=1C=C2CC(CC3CCNCC3)C(=O)C2=CC1OC,0.832,1.3271
Z90664455,CC(=O)N1CCC(N)CC1,0.1338,1.2598
Z1255439073,OC=1C=CC=C2NC=3C=CC=CC3C12,1.1399,1.3206
Z1486005787,NC=1C=CC(Br)=C(F)C1C(=O)O,0.8969,1.1593
Z2768165515,CC1=CNC(=S)NC1=O,0.4091,1.3302
Z1198224761,OCC=1C=C(Br)C=CN1,0.6616,1.3118
Z57395032,CN1CCNCC1=O,0.1036,1.0178
Z2768168377,Cl.CC(C)(C#N)C=1C=CC(N)=CC1,0.8192,1.3321
Z2237335016,Cl.CC(N)COC=1C(C)=CC=CC1C,0.8497,1.3182
