"MCMRT Number","Compound Name","IUPAC Name",Formula,"CAS Number","Pubchem Number",Isomeric SMILES,InChI,Retention Factor (k),RT (min),RSD
1,"4-Amino-1,2,4-triazole","1,2,4-triazol-4-amine",C2H4N4,584-13-4,11432,C1=NN=CN1N,"InChI=1S/C2H4N4/c3-6-1-4-5-2-6/h1-2H,3H2",0.00,1.27 ,0.79%
2,Moniliformin,"3-hydroxycyclobut-3-ene-1,2-dione",C4H2O3,31876-38-7,40452,C1=C(C(=O)C1=O)O,"InChI=1S/C4H2O3/c5-2-1-3(6)4(2)7/h1,5H",0.11,1.41 ,0.50%
3,3-Amino-2-oxazolidinone,"3-amino-1,3-oxazolidin-2-one",C3H6N2O2,80-65-9,65725,C1COC(=O)N1N ,"InChI=1S/C3H6N2O2/c4-5-1-2-7-3(5)6/h1-2,4H2",0.10,1.40 ,1.43%
4,1H-benzotriazole,2H-benzotriazole,C6H5N3,95-14-7,7220,C1=CC2=NNN=C2C=C1,"InChI=1S/C6H5N3/c1-2-4-6-5(3-1)7-9-8-6/h1-4H,(H,7,8,9)",2.98,5.06 ,0.44%
5,Nicotinic Acid,pyridine-3-carboxylic acid,C6H5NO2,59-67-6,938,C1=CC(=CN=C1)C(=O)O,"InChI=1S/C6H5NO2/c8-6(9)5-2-1-3-7-4-5/h1-4H,(H,8,9)",0.46,1.85 ,1.08%
6,Melamine,"1,3,5-triazine-2,4,6-triamine",C3H6N6,108-78-1,7955,C1(=NC(=NC(=N1)N)N)N,"InChI=1S/C3H6N6/c4-1-7-2(5)9-3(6)8-1/h(H6,4,5,6,7,8,9)",0.07,1.36 ,0.43%
7,Metformin,"3-(diaminomethylidene)-1,1-dimethylguanidine",C4H11N5,657-24-9,4091,CN(C)C(=N)N=C(N)N,"InChI=1S/C4H11N5/c1-9(2)4(7)8-3(5)6/h1-2H3,(H5,5,6,7,8)",0.08,1.37 ,1.58%
8,"1,3-Benzothiazol","1,3-benzothiazole",C7H5NS,95-16-9,7222,C1=CC=C2C(=C1)N=CS2,InChI=1S/C7H5NS/c1-2-4-7-6(3-1)8-5-9-7/h1-5H,3.87,6.18 ,0.32%
9,Trimethyl phosphate,trimethyl phosphate,C3H9O4P,512-56-1,10541,COP(=O)(OC)OC,"InChI=1S/C3H9O4P/c1-5-8(4,6-2)7-3/h1-3H3",2.19,4.05 ,0.52%
10,Hexamethylenetetramine,"1,3,5,7-tetrazatricyclo[3.3.1.13,7]decane",C6H12N4,100-97-0,4101,C1N2CN3CN1CN(C2)C3,InChI=1S/C6H12N4/c1-7-2-9-4-8(1)5-10(3-7)6-9/h1-6H2,0.07,1.36 ,2.21%
11,(±)-Methamidophos,[amino(methylsulfanyl)phosphoryl]oxymethane,C2H8NO2PS,10265-92-6,4096,COP(=O)(N)SC,"InChI=1S/C2H8NO2PS/c1-5-6(3,4)7-2/h1-2H3,(H2,3,4)",1.05,2.60 ,0.54%
12,Patulin,"4-hydroxy-4,6-dihydrofuro[3,2-c]pyran-2-one",C7H6O4,149-29-1,4696,C1C=C2C(=CC(=O)O2)C(O1)O,"InChI=1S/C7H6O4/c8-6-3-4-5(11-6)1-2-10-7(4)9/h1,3,7,9H,2H2",1.94,3.73 ,0.76%
13,L-carnitime,(3R)-3-hydroxy-4-(trimethylazaniumyl)butanoate,C7H15NO3,541-15-1,10917,C[N+](C)(C)C[C@@H](CC(=O)[O-])O,"InChI=1S/C7H15NO3/c1-8(2,3)5-6(9)4-7(10)11/h6,9H,4-5H2,1-3H3/t6-/m1/s1",0.00,1.27 ,0.00%
