NAME,INCHKEY,SMILES,Experimental Retention Time,XGBOOST,RANDOM FOREST,BRNN,LIGHTGBM,KERAS,,XGBOOST,BRNN,RANDOM FOREST,LIGHTGBM,KERAS
"(2-oxo-2,3-dihydro-1H-indol-3-yl)acetic acid",ILGMGHZPXRDCCS-UHFFFAOYSA-N,C1=CC=C2C(=C1)C(C(=O)N2)CC(=O)O,2.02,2.27,2.43,2.32,2.99,2.46,,0.25,0.41,0.30,0.97,0.44
"1,1-Dimethyl-4-phenylpiperazinium",WVHNHHJEHFWYHH-UHFFFAOYSA-N,CC1C(NC(CN1)C2=CC=CC=C2)C,2.61,3.35,3.00,5.01,3.22,4.25,,0.74,0.39,2.40,0.61,1.64
"1,2-Cyclohexanediol",PFURGBBHAOXLIO-OLQVQODUSA-N,C1CCC(C(C1)O)O,4.88,4.72,4.50,2.89,4.55,4.34,,0.16,0.38,1.99,0.32,0.53
"1,2-Cyclohexanedione",OILAIQUEIWYQPH-UHFFFAOYSA-N,C1CCC(=O)C(=O)C1,5.77,4.20,4.49,2.83,4.14,5.79,,1.57,1.28,2.94,1.63,0.02
"1,3,7-Trimethyluric acid",BYXCFUMGEBZDDI-UHFFFAOYSA-N,CN1C2=C(NC1=O)N(C(=O)N(C2=O)C)C,1.83,2.21,2.21,1.99,2.13,2.63,,0.38,0.38,0.16,0.30,0.81
"1,3 Cyclohexanedione",HJSLFCCWAKVHIW-UHFFFAOYSA-N,C1CC(=O)CC(=O)C1,1.47,1.90,1.98,2.32,1.91,4.05,,0.43,0.51,0.84,0.44,2.58
"1,4-Cyclohexanedicarboxylic acid",PXGZQGDTEZPERC-UHFFFAOYSA-N,C1CC(CCC1C(=O)O)C(=O)O,1.56,2.04,1.92,3.96,1.95,3.39,,0.48,0.36,2.40,0.39,1.83
"1,4-Cyclohexanedione",DCZFGQYXRKMVFG-UHFFFAOYSA-N,C1CC(=O)CCC1=O,1.15,1.55,1.68,2.24,1.82,1.84,,0.40,0.53,1.09,0.67,0.68
"1,7-Dimethyluric acid",NOFNCLGCUJJPKU-UHFFFAOYSA-N,CN1C2=C(NC1=O)NC(=O)N(C2=O)C,4.09,2.84,3.39,2.06,3.11,3.38,,1.25,0.70,2.03,0.98,0.71
1-Acetylimidazole,VIHYIVKEECZGOU-UHFFFAOYSA-N,CC(=O)N1C=CN=C1,1.37,1.70,1.95,2.56,1.87,1.61,,0.33,0.58,1.19,0.50,0.24
1-Benzylimidazole,KKKDZZRICRFGSD-UHFFFAOYSA-N,C1=CC=C(C=C1)CN2C=CN=C2,1.63,2.23,2.20,2.88,2.33,3.15,,0.60,0.57,1.25,0.70,1.52
1-Methylpseudouridine,UVBYMVOUBXYSFV-XUTVFYLZSA-N,CN1C=C(C(=O)NC1=O)C2C(C(C(O2)CO)O)O,4.99,4.58,4.89,4.58,4.25,4.18,,0.41,0.10,0.40,0.74,0.81
1-Methyltryptophan,ZADWXFSZEAPBJS-JTQLQIEISA-N,CN1C=C(C2=CC=CC=C21)CC(C(=O)O)N,6.38,6.25,6.21,6.51,6.81,6.77,,0.13,0.17,0.13,0.43,0.40
16-Glucuronide-estriol,FQYGGFDZJFIDPU-JRSYHJKYSA-N,CC12CCC3C(C1CC(C2O)OC4C(C(C(C(O4)C(=O)O)O)O)O)CCC5=C3C=CC(=C5)O,6.49,5.58,5.66,5.50,5.62,6.20,,0.91,0.83,1.00,0.87,0.29
"2',3'-Dideoxyinosine",BXZVVICBKDXVGW-NKWVEPMBSA-N,C1CC(OC1CO)N2C=NC3=C2NC=NC3=O,3.44,3.21,3.09,3.38,2.95,3.52,,0.23,0.35,0.06,0.49,0.08
2'-Deoxyadenosine-5'-monophosphate,KHWCHTKSEGGWEX-RRKCRQDMSA-N,C1C(C(OC1N2C=NC3=C2N=CN=C3N)COP(=O)(O)O)O,8.63,8.80,8.73,8.51,8.81,9.04,,0.17,0.11,0.11,0.19,0.42
